url,content
https://www.seas.harvard.edu/applied-computation/graduate-programs/masters-data-science,"The Data Science master's program, jointly led by the Computer Science and Statistics faculties and administered through the Institute for Applied Computational Science (IACS), trains students in the rapidly growing field of data science. Data Science lies at the intersection of statistical methodology, computational science, and a wide range of application domains.  The program offers strong preparation in statistical modeling, machine learning, optimization, management and analysis of massive data sets, and data acquisition.  The program focuses on topics such as reproducible data analysis, collaborative problem solving, visualization and communication, and security and ethical issues that arise in data science. "
https://ed.stanford.edu/academics/masters/ed-data-science,"Data hold enormous potential to advance discovery, decision making, and the continuous improvement of learning.

The program in education data science integrates the complex and rich disciplines of computer science and statistics with education and social science theory. It prepares students to apply data science skills and techniques to education research and practice. "
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,"This focused M.S. track is developed within the structure of the current M.S. in Statistics and new trends in data science and analytics. Upon the successful completion of the Data Science M.S. degree students will be prepared to continue on to related doctoral program or as a data science professional in industry. The Data Science track develops strong mathematical, statistical, computational and programming skills, in addition to providing fundamental data science education through general and focused electives requirement from courses in data sciences and other areas of interest."
https://mitsloan.mit.edu/master-of-business-analytics,"In just 12 months, the MIT Sloan Master of Business Analytics program prepares students for careers that apply and manage modern data science to solve critical business challenges. Established in conjunction with MIT's Operations Research Center – an interdisciplinary research center established in 1953– the MBAn program is tailored for current students or recent college graduates who plan to pursue a career in the data science industry, as well as those seeking career advancement or change, especially engineers, mathematicians, physicists, computer programmers, and other high-tech professionals. The program answers the industry’s demand for a skilled pool of graduates who can apply data science to solve business challenges.  MIT offers an analytics degree at the undergraduate, graduate, and doctoral levels."
https://sps.columbia.edu/academics/masters/applied-analytics,"The Master of Science in Applied Analytics prepares students with the practical data and leadership skills to succeed in the coming era. Gain exposure to analytical tools and methods to address a wide range of business challenges.
Learn to recognize opportunities to impact an organization’s strategic direction through the implementation of analytics processes.
Learn to source, store, and model the internal and external data needed to answer questions and produce value.
Learn to incorporate sophisticated data analytical techniques, approaches, and models to affect outcomes and decision-making.
Develop the management and analytical skills necessary to implement change based on data-driven decisions."
https://datascience.columbia.edu/education/programs/m-s-in-data-science/,"The M.S. in Data Science allows students to apply data science techniques to their field of interest. Columbia data science students have the opportunity to conduct original research, produce a capstone project, and interact with our industry partners and world-class faculty. Students may also choose an elective track focused on entrepreneurship or a subject area covered by one of our centers."
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,"Technology now touches every part of our lives. The amount of data available in the business world and financial markets is exploding. Businesses, government, consumers, investors, policymakers and others face major challenges as well as opportunities to adapt to the results of the fast-moving flow of information. The UCLA Anderson Master of Science in Business Analytics is a 15 month on-campus program that will give you the tools to become a leader in this rapidly evolving and in-demand field. The data revolution has given birth to entirely new fields in academics. In particular, new paradigms are being developed to manage, capture, describe, and analyze the flow of data, and to extract useful and targeted information that can be used to make informed business decisions.

One of the most important areas in which these paradigms are having an important impact is in business data analytics, or business analytics for short. Specifically, business analytics is the application of statistical, computational, quantitative, econometric, and management tools to the informational flows for the purpose of addressing business needs. In the employment market, there is a demand for people who are facile in building models and manipulating data and who have a strong fundamental understanding of the economics of the firm and appreciation of the firm’s objectives. In addition, there is a need for people who can communicate effectively with others who are not well trained or well versed in analytical methods and models. Current demand for data scientists and analytics is being satisfied primarily with individuals with a computer science background who do not necessarily have the expertise to understand how firms develop products and compete.
"
https://statistics.yale.edu/academics/terminal-ma-program,"The Department offers a broad training program comprised of the main areas of statistical theory (with emphasis on foundations, Bayes theory, decision theory, nonparametric statistics), probability theory, stochastic processes, asymptotics, information theory, machine learning, data analysis, statistical computing, and graphical methods. With this background, graduates of the program have found excellent positions in industry, and government."
https://dats.seas.upenn.edu/program/,"The emerging discipline of data science has become essential to making decisions, understanding observations, and solving problems in today’s world. Whether we want to apply artificial intelligence techniques to a problem, build a computational model of real-world phenomena, statistically test a hypothesis, or analyze structured, textual or image data, data science and data analysis techniques are becoming an essential part of every scientist, researcher, engineer, and policy maker’s tool chest. Penn’s Master of Science in Engineering (MSE) in Data Science prepares students for a wide range of data-centric careers, whether in technology and engineering, consulting, science, policy-making, or understanding patterns in literature, art or communications."
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,"Despite the unquestionable relevance and powerful utility of the social analysis of digital data, there are currently not enough professionals trained in the substantive knowledge and skills of social policy analysis and data analytics. Data analytics developed as the multidisciplinary convergence of computer science, statistics, and cognitive sciences. Adding the discipline of social policy to this convergence, SP2’s Master of Science in Social Policy program plus the Data Analytics for Social Policy Certificate (MSSP+DA) is the first to train students explicitly in the use of data analytics for social policy analysis, research and evaluation. The MSSP+DA provides cutting edge training for the growing and highly needed professionals of data analytics for social policy."
https://mba-inside.wharton.upenn.edu/buan-major/,"The Business Analytics MBA major is designed to build deep competency in the skills needed to implement and oversee data-driven business decisions, including (i) collecting, managing and describing datasets, (ii) forming inferences and predictions from data, and (iii) making optimal and robust decisions. Business analytics makes extensive use of statistical analysis, and the applications of business analytics span all functional areas. Business analytics has emerged in recent years as a powerful and required capability for firms in competitive markets. The quantity, quality and diversity of available data have never been greater, which has created new and significant opportunities for organizations to use data to improve their decisions with respect to both internal resources as well as external interactions with suppliers and customers. Students choosing the Business Analytics MBA major are ideally suited for the growing set of careers broadly defined under the header of “data science” with responsibilities for managing and analyzing data. In addition, the major provides an excellent complement to students who choose to focus on one of the functional areas of business (e.g., accounting, finance, marketing, operations)."
https://www.design.upenn.edu/musa/about,"The for-profit sector has embraced data and analytics as a means to increase efficiency and grow the bottom line. The government and non-profit sectors are next in line. The Master of Urban Spatial Analytics is a one year graduate program that teaches students how to use spatial analysis and data science to address the most pressing public policy and city planning conundrums of our day. We are teaching the next generation of civic technologists. The one-year MUSA program combines coursework on GIS, spatial analysis, data science, statistics, R and python programming, data visualization and web-based mapping with world-class urban content coursework from across the University of Pennsylvania. "
https://stat.cornell.edu/academics/mps,"Our one-year MPS program in Applied Statistics readies students for careers in fields where modern data analysis skills are highly coveted. Built on the three curriculum components of core courses, an in-depth statistical analysis project, and elective coursework, our program offers students the option to focus their graduate education in one of two areas: techniques of applied statistical analysis or data science, which includes high performance computing, databases and scripting.

Equipped with the essential and foundational understanding of statistical processes, our students join in a tradition of success, working in global industries in diverse fields ranging from finance to survey analysis to biomedical research. For more than ten years, our Master of Professional Studies (MPS) program has offered world-class training in applied statistics and preparation for the 21st-century workplace. The MPS provides a solid foundation in theoretical statistics, a broad education in many applied statistics topics, certification in SAS and a semester-long, real-world data analysis project. Our graduates are employed all over the world, in industries ranging from finance to survey analysis to biomedical research. The Master of Professional Studies (MPS) in Applied Statistics is for those who are interested in professional careers in business, industry, government or scientific research. Our MPS program provides rigorous training in modern data analytical skills that are sought after in almost any field. Currently, Cornell is the only Ivy League University that provides such a program. This program is recognized as a Professional Science Master's (PSM) program, approved by the Council of Graduate Schools. The MPS Program Has Two Options
Option I focuses on techniques of Statistical Analysis.

Option II, Data Science, which along with statistical techniques puts more emphasis on computer science than Option I, for example, high performance computing, databases, middleware, and scripting."
https://cds.nyu.edu/masters-program/,"The Master of Science in Data Science is a highly-selective program for students with a strong background in mathematics, computer science, and applied statistics. The degree focuses on the development of new methods for data science. We live in the “Age of the Petabyte,” soon to become “The Age of the Exabyte.” Our networked world is generating a deluge of data that no human, or group of humans, can process fast enough. This data deluge has the potential to transform the way business, government, science, and healthcare are carried out. But too few possess the skills needed to use automated analytical tools and cut through the noise to create knowledge from big data.A new discipline has emerged to address the need for professionals and researchers to deal with the “data tidal wave.” Its object is to provide the underlying theory and methods of the data revolution. This emergent discipline is known by several names. We call it “data science,” and we have created the world’s first MS degree program devoted to it."
https://www.sps.nyu.edu/homepage/academics/masters-degrees/ms-in-human-capital-analytics-and-technology.html,"The M.S. in Human Capital Analytics and Technology (HCAT) is an accelerated, 30-credit program that can be completed online, onsite, or in a blended format. All incoming students are required to attend a one-week intensive course onsite in NYC at the start of the program. This degree is designed for emerging and mid-level professionals (three to five years or more of related experience) who have a strong interest and appreciation for the role of people analytics and technology in business strategy and planning. Upon completion of the program, graduates will be able to not only research, evaluate, and implement analytical methods and technology, but also to build a narrative around the data for a broad array of stakeholder audiences. Students will also acquire the analytical approaches, technology readiness, business acumen, and communication skills necessary to lead human capital analytics and technology functions."
https://professional.uchicago.edu/find-your-fit/masters/master-science-analytics,"Building from a core in applied statistics, the Master of Science in Analytics (MScA) provides students with advanced analytical training to develop the ability to draw insights from big data and build automated artificial intelligence systems. The MScA program is highly applied in nature, integrating business strategy, project-based learning, simulations, case studies, and specific electives addressing the analytical needs of various industry sectors. Relationships with corporate partners provide students with access to real data sets and the opportunity to address current business issues. Beyond the classroom, these corporate partnerships also provide valuable networking opportunities and career connections. Organizations of all types collect data on their customers, markets, processes, and infrastructure, then analyze that data to develop business insights and machine-based intelligent systems. This means analytics has rapidly become a broad and dynamic field experiencing a significant shortage of qualified talent. Big data and the expansion in different kinds of data structures demand that data scientists work with larger and more complex data sets to answer increasingly challenging questions. Students of data science must master not only the traditional analytical theory and practice but also learn emerging new technologies. Analytics students have highly sought after skill sets that can be applied in almost any industry. One of the main goals of the MScA program is to give students the tools to be highly successful professionals in business analytics and data science. The University of Chicago Master of Science in Analytics attracts students from all over the world to our downtown Chicago campus. Our students use their degree as a springboard to dive into the analytics field, discover new ways to use analytics to explore complex questions, and shape themselves into leaders in the analytics community.Acquiring advanced proficiency in applying state-of-the-art data engineering and software skills to support a variety of analytics applications
Learning data collection and preparation methodologies including identifying relevant data sources, preparing data for analytics, and automating the data preparation process
Gaining an in-depth understanding of established and state-of-the-art statistical modeling, machine learning, and artificial intelligence techniques
Designing and implementing applied research by using analytics tools relevant to strategic business issues, while working with real data sets provided by our industry partners in the Capstone project
Building effective leadership and communication skills which includes developing impactful, practical solutions and understanding the marriage between business and analytics strategy"
https://datascience.duke.edu/,"The Duke University Master in Interdisciplinary Data Science (MIDS) is home for creative problem-solvers who want to use data strategically to advance society. We're cultivating a new type of quantitative thought leader who uses computational strategies to generate innovation and insights. Duke's Master in Interdisciplinary Data Science program combines rigorous computational and technical training with field knowledge and repeated practice in critical thinking, teamwork, communication, and collaborative leadership to generate data scientists who can add value to any field. The Master in Interdisciplinary Data Science program is structured to connect technical learning and expertise with the many domains in need of data insights. The true power of data in the twenty-first century lies in that connection and our curriculum is developed around the belief that harnessing this power requires both interdisciplinary training and experience with team-based science. The Duke University Master in Interdisciplinary Data Science will help you develop the skills you need to be successful — communication, problem-solving, critical thinking, creativity, and data analysis."
https://ai.meng.duke.edu/degree,"Our novel core curriculum was developed with industry input and is structured around the Product Development Process used in industry. 

As a Duke master's student, you will:

Build a personal portfolio of real-world, hands-on projects
Receive individualized academic and career advising
Be engaged with outstanding peers from around the world, and with our world-class faculty"
https://engineering.jhu.edu/ams/data-science-masters-program/,"The Data Science Master’s degree at the Johns Hopkins University will provide the training in applied mathematics, statistics and computer science to serve as the basis for an understanding, and appreciation, of existing data science tools.  Our program aims to produce the next generation of leaders in data science by emphasizing mastery of the skills needed to translate real-world data-driven problems in mathematical ones, and then solving these problems by using a diverse collection of scientific tools."
https://e-catalogue.jhu.edu/business/degrees-certificates/business-analytics-risk-management-master-science/#text,"The STEM-designated Master of Science in Business Analytics and Risk Management (BARM) full-time program equips managers to improve decision making processes based on a rigorous treatment of data and information using the management of risk as an underlying guide and framework. This program is designed to teach ways to: quantify multiple dimensions of hard business problems; analyze the structure and data related to those problems; and create rigorous approaches based on that analysis to guide business decisions. In each setting elements of Data Science, Decision Modeling, and Business Analysis are synthesized to facilitate management of both opportunities and risks. Coursework provides exposure to both a variety of analytical tools and aspects of risk management which enable managers to make better decisions for themselves and their organizations.

An MS in Business Analytics and Risk Management provides graduates with the tools and knowledge to:

Convert raw data into useful information
Present that information in compelling ways
Use information to understand complex decision settings
Create rigorous approaches to problem solving
Construct persuasive arguments based on careful analysis
Use information to diagnose problems
Use analysis to prescribe approaches to improve performance
Develop ways to predict future performance
Improve decision making at all levels
Add value to any organization in need of more analytical expertise"
https://www.marshall.usc.edu/programs/specialized-masters-programs/master-science-business-analytics,"The USC Marshall MSBA program is a data science STEM program with a business lens. It is one of the longest running MSBA programs in the nation, and top ranking in the world. The program emphasizes project-based learning in the classroom, so our students acquire deeper business analytics knowledge through active exploration of real-world business challenges and problems. These projects are in collaboration with our industry partners, and cover a range of business areas including finance, operations, marketing, management, supply chain, and HR."
https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,"This program aims to introduce BME graduate students to the mathematical and computational methods of biomedical data analysis and to demonstrate the application of these methods to selected domains of high importance for Biomedical Engineering (e.g. biomedical signal and system analysis, medical imaging, clinical diagnostics and treatment monitoring). In other words, our students will be able to use computational methods to extract new, valuable knowledge from measurements made in hospital and laboratory settings. The general philosophy of this program is that Data Analytics will be a key factor in the development of the “new medicine” in the 21 century. Graduates will have a firm knowledge of not only the “know how,” but also the “know why” of Data Analytics in BME."
https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,"The MS in Computer Science - Data Science provides students with a core background in Computer Science and specialized algorithmic, statistical, and systems expertise in acquiring, storing, accessing, analyzing, and visualizing large, heterogeneous and real-time data associated with diverse real-world domains including energy, the environment, health, media, medicine, and transportation."
https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,"The objective of the USC Viterbi Master of Science in Applied Data Science is to train students with a range of backgrounds to be skilled data scientists.

This program allows strong students trained in either computer science or other engineering or scientific disciplines (or even social science disciplines with a demonstrated aptitude for math and science) to get the training to pursue a career in applied data science.

Students completing this degree will have learned the skills required to work as a data scientist, including a basic understanding of data science techniques, the ability to write data science programs in Python, knowledge and experience in working with both databases and big data infrastructure, skills in applying machine learning and data mining techniques, and knowledge of how to apply these skills to real-world problems.

Our students are immersed in the overall field of data analytics, the role of the analyst and/or data scientist, and the domains where informatics skills can be applied to critical organization missions. They understand how data management, data visualization, data mining, and artificial intelligence techniques (specifically machine learning) are critical to the analysis process and how these can be applied to real-world challenges.

The program features the application of knowledge and skill in hands-on type experiences, with the goal of having students leave the program having “lived in the data.” Through an extensive elective track and our unique professional practicum, students find the specializations that will help them better prepare themselves for the area(s) of analytics in which they hope to contribute."
